"","National.Provider.Indentification","Plan.Name","Standardized.Add.1","Standardized.City","Standardized.State","Standardized.County.Name","Standardized.ZIP","License.Number","Medicaid.Provider.Identification.No","Provider.Primary.Specialty","Phone.Number"
"64",1003802190,"Excellus Health Plan, Inc./Univera Healthcare","83 SENECA ST","GENEVA","NY","Ontario",14456,"6879100B",357846,"PRIVATE PSYCH & ASA INPATIENT",7896706
"67",1003802190,"Excellus Health Plan, Inc./Univera Healthcare","83 SENECA ST","GENEVA","NY","Ontario",14456,"3429200R",984285,"PHYSICAL THERAPY",3964363
"69",1003802190,"Excellus Health Plan, Inc.","83 SENECA ST","GENEVA","NY","Ontario",14456,"3429200R",984285,"PHYSICAL THERAPY",3964363
"71",1003802190,"MVP Health Plan, Inc.","83 SENECA ST","GENEVA","NY","Ontario",14456,"6879100B",357846,"MH OUTPATIENT (NON-RESIDENTIAL)",3964363
"72",1003802190,"MVP Health Plan, Inc.","83 SENECA ST","GENEVA","NY","Ontario",14456,"6879100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",3964363
"74",1003803271,"Excellus Health Plan, Inc./Univera Healthcare","2987 SENECA ST","BUFFALO","NY","Erie",14224,"1474301N",475365,"INSTITUTIONAL LTC",8280500
"75",1003803271,"HealthNow of New York, Inc","2987 SENECA ST","BUFFALO","NY","Erie",14224,"1474301N",475365,"INSTITUTIONAL LTC",8280500
"77",1003803271,"HealthNow of New York, Inc: Medicaid","2987 SENECA ST","BUFFALO","NY","Erie",14224,"1474301N",475365,"NURSING HOME CARE SHORT TERM REHAB",8280500
"78",1003803271,"HealthNow of New York, Inc","2987 SENECA ST","BUFFALO","NY","Erie",14224,"1474301N",475365,"NURSING HOME CARE SHORT TERM REHAB",8280500
"79",1003806563,"Excellus Health Plan, Inc./Univera Healthcare","29 ELM ST","POTSDAM","NY","St. Lawrence",13676,NA,99999999,"AMBULANCE",2652550
"80",1003806563,"Excellus Health Plan, Inc.","29 ELM ST","POTSDAM","NY","St. Lawrence",13676,NA,99999999,"AMBULANCE",2652550
"85",1003812330,"HealthNow of New York, Inc: Medicaid","3023 ROUTE 430","GREENHURST","NY","Chautauqua",14742,"0658301N",1520350,"NURSING HOME CARE SHORT TERM REHAB",4835000
"86",1003812330,"HealthNow of New York, Inc","3023 ROUTE 430 PO","GREENHURST","NY","Chautauqua",14742,"0658301N",1520350,"INSTITUTIONAL LTC",4835000
"87",1003812330,"HealthNow of New York, Inc","3023 ROUTE 430 PO","GREENHURST","NY","Chautauqua",14742,"0658301N",1520350,"NURSING HOME CARE SHORT TERM REHAB",4835000
"88",1003814641,"MVP Health Plan, Inc.","4 FULLER ST","ALEXANDRIA BAY","NY","Jefferson",13607,"2221700C",0,"GENERAL HOSPITAL (ARTICLE 28)",4821111
"89",1003814641,"MVP Health Plan, Inc.","4 FULLER ST","ALEXANDRIA BAY","NY","Jefferson",13607,"00222170",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",4822511
"91",1003814641,"Excellus Health Plan, Inc.","4 FULLER ST","ALEXANDRIA BAY","NY","Jefferson",13607,"D0663773",99999999,"LABORATORY",4822511
"92",1003814641,"Excellus Health Plan, Inc./Univera Healthcare","4 FULLER ST","ALEXANDRIA BAY","NY","Jefferson",13607,"D0663773",99999999,"LABORATORY",4822511
"95",1003819806,"MVP Health Plan, Inc.","23 ELM ST","ONEONTA","NY","Otsego",13820,"03824601",0,"NON INSTITUTIONAL LTC",4327924
"96",1003819806,"MVP Health Plan, Inc.","297 MAIN ST","ONEONTA","NY","Otsego",13820,"03824601",0,"HOME CARE - HOME HEALTH AIDE",4327924
"97",1003824855,"MVP Health Plan, Inc.","10456 SALTER RD","NORTH ROSE","NY","Wayne",14516,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"98",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","10456 SALTER RD","NORTH ROSE","NY","Wayne",14516,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"100",1003824855,"Excellus Health Plan, Inc.","10456 SALTER RD","NORTH ROSE","NY","Wayne",14516,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"102",1003824855,"Excellus Health Plan, Inc.","120 CANANDAIGUA ST","PALMYRA","NY","Wayne",14522,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"104",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","120 CANANDAIGUA ST","PALMYRA","NY","Wayne",14522,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"106",1003824855,"MVP Health Plan, Inc.","120 CANANDAIGUA ST","PALMYRA","NY","Wayne",14522,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"107",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","1500 DAYSPRING RDG","WALWORTH","NY","Wayne",14568,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"109",1003824855,"Excellus Health Plan, Inc.","1500 DAYSPRING RDG","WALWORTH","NY","Wayne",14568,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"111",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","151 HYDE PKWY","PALMYRA","NY","Wayne",14522,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"112",1003824855,"Excellus Health Plan, Inc.","151 HYDE PKWY","PALMYRA","NY","Wayne",14522,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"115",1003824855,"MVP Health Plan, Inc.","151 HYDE PKWY","PALMYRA","NY","Wayne",14522,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"116",1003824855,"HealthNow of New York, Inc","1519 NYE RD","LYONS","NY","Wayne",14489,"6898100A",357502,"OMH PSYCH CTR/OASAS ASA INPATIENT",9465722
"117",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","1519 NYE RD","LYONS","NY","Wayne",14489,"6898100N",3369317,"OMH CHILD CLINIC (STATE OPR)",9465722
"118",1003824855,"Excellus Health Plan, Inc.","1519 NYE RD","LYONS","NY","Wayne",14489,"6898100N",3369317,"OMH CHILD CLINIC (STATE OPR)",9465722
"121",1003824855,"MVP Health Plan, Inc.","1519 NYE RD","LYONS","NY","Wayne",14489,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"122",1003824855,"Excellus Health Plan, Inc.","152 HYDE PKWY","PALMYRA","NY","Wayne",14522,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"123",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","152 HYDE PKWY","PALMYRA","NY","Wayne",14522,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"126",1003824855,"MVP Health Plan, Inc.","152 HYDE PKWY","PALMYRA","NY","Wayne",14522,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"127",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","3863 N MAIN ST","MARION","NY","Wayne",14505,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"128",1003824855,"Excellus Health Plan, Inc.","3863 N MAIN ST","MARION","NY","Wayne",14505,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"131",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","39 DUNCAN ST","WARSAW","NY","Wyoming",14569,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",7860190
"132",1003824855,"Excellus Health Plan, Inc.","39 DUNCAN ST","WARSAW","NY","Wyoming",14569,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",7860190
"135",1003824855,"Excellus Health Plan, Inc.","4 WEST ST","MACEDON","NY","Wayne",14502,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"137",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","4 WEST ST","MACEDON","NY","Wayne",14502,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"139",1003824855,"MVP Health Plan, Inc.","4 WEST ST","MACEDON","NY","Wayne",14502,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"140",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","4034 WARNER RD","MARION","NY","Wayne",14505,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"142",1003824855,"Excellus Health Plan, Inc.","4034 WARNER RD","MARION","NY","Wayne",14505,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"144",1003824855,"MVP Health Plan, Inc.","4320 CANANDAIGUA RD","WALWORTH","NY","Wayne",14568,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"145",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","4320 CANANDAIGUA RD","WALWORTH","NY","Wayne",14568,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"147",1003824855,"Excellus Health Plan, Inc.","4320 CANANDAIGUA RD","WALWORTH","NY","Wayne",14568,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"149",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","5957 NEW HARTFORD ST","WOLCOTT","NY","Wayne",14590,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"150",1003824855,"Excellus Health Plan, Inc.","5957 NEW HARTFORD ST","WOLCOTT","NY","Wayne",14590,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465722
"153",1003824855,"MVP Health Plan, Inc.","5957 NEW HARTFORD ST","WOLCOTT","NY","Wayne",14590,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"154",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","6264 STATE ROUTE 88","SODUS","NY","Wayne",14551,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465744
"155",1003824855,"Excellus Health Plan, Inc.","6264 STATE ROUTE 88","SODUS","NY","Wayne",14551,"6898100N",3369317,"PRIVATE PSYCH & ASA INPATIENT",9465744
"158",1003824855,"MVP Health Plan, Inc.","6264 STATE ROUTE 88","SODUS","NY","Wayne",14551,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"159",1003824855,"MVP Health Plan, Inc.","MILL ST EXT","SODUS","NY","Wayne",14551,"6898100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",9465722
"160",1003824855,"Excellus Health Plan, Inc./Univera Healthcare","MILL STREET EXT","SODUS","NY","Wayne",14551,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"163",1003824855,"Excellus Health Plan, Inc.","MILL STREET EXT","SODUS","NY","Wayne",14551,"6898100N",3369317,"HCBS PSYCHOSOCIAL REHAB",9465722
"168",1003842428,"HealthNow of New York, Inc","1504 W STATE ST","OLEAN","NY","Cattaraugus",14760,"00822409",649014,"HEARING SERVICES (ORDERED AMBULATORY)",3730445
"169",1003842428,"HealthNow of New York, Inc: Medicaid","1504 W STATE ST","OLEAN","NY","Cattaraugus",14760,NA,99999999,"HEARING SERVICES (ORDERED AMBULATORY)",3730445
"170",1003846270,"Excellus Health Plan, Inc.","25 EVERGREEN ST","AFTON","NY","Chenango",13730,NA,581246,"PRIVATE PSYCH & ASA INPATIENT",6392701
"171",1003846270,"Excellus Health Plan, Inc./Univera Healthcare","25 EVERGREEN ST","AFTON","NY","Chenango",13730,NA,581246,"PRIVATE PSYCH & ASA INPATIENT",6392701
"174",1003846270,"Excellus Health Plan, Inc.","5 COURT ST","NORWICH","NY","Chenango",13815,NA,581246,"PRIVATE PSYCH & ASA INPATIENT",3371600
"175",1003846270,"Excellus Health Plan, Inc./Univera Healthcare","5 COURT ST","NORWICH","NY","Chenango",13815,NA,581246,"PRIVATE PSYCH & ASA INPATIENT",3371600
"178",1003846270,"Excellus Health Plan, Inc./Univera Healthcare","51 GENESEE ST","GREENE","NY","Chenango",13778,NA,581246,"PRIVATE PSYCH & ASA INPATIENT",3371600
"180",1003846270,"Excellus Health Plan, Inc.","51 GENESEE ST","GREENE","NY","Chenango",13778,NA,581246,"PRIVATE PSYCH & ASA INPATIENT",3371600
"182",1003847740,"HealthNow of New York, Inc: Medicaid","106 W 3RD ST","JAMESTOWN","NY","Chautauqua",14701,"9112L001",900972,"HOME CARE - HOME HEALTH AIDE",4847101
"183",1003847740,"HealthNow of New York, Inc","106 W 3RD ST","JAMESTOWN","NY","Chautauqua",14701,"9112L001",811032,"HOME CARE - HOME HEALTH AIDE",4847101
"184",1003862020,"HealthNow of New York, Inc","6700 THOMPSON RD","SYRACUSE","NY","Onondaga",13211,"99999999",99999999,"DURABLE MEDICAL EQUIPMENT",4371627
"185",1003862020,"HealthNow of New York, Inc","6700 THOMPSON RD","SYRACUSE","NY","Onondaga",13211,NA,1818419,"PHARMACY",4371627
"186",1003862020,"Excellus Health Plan, Inc.","6700 THOMPSON RD","SYRACUSE","NY","Onondaga",13211,NA,1818419,"PHARMACY",4371627
"187",1003862020,"Excellus Health Plan, Inc./Univera Healthcare","6700 THOMPSON RD","SYRACUSE","NY","Onondaga",13211,NA,1818419,"PHARMACY",4371627
"196",1003862020,"MVP Health Plan, Inc.","6700 THOMPSON RD","SYRACUSE","NY","Onondaga",13211,"00023530",1818419,"PHARMACY",4371627
"199",1003862020,"HealthNow of New York, Inc: Medicaid","6700 THOMPSON RD","SYRACUSE","NY","Onondaga",13211,NA,1818419,"OTHER",4371627
"200",1003864745,"MVP Health Plan, Inc.","196 NORTH ST","GENEVA","NY","Ontario",14456,"00000000",0,"RADIOLOGY",7875399
"202",1003864745,"MVP Health Plan, Inc.","418 N MAIN ST","PENN YAN","NY","Yates",14527,"00000000",0,"RADIOLOGY",7875399
"203",1003869165,"HealthNow of New York, Inc","106 S PERRY ST","WATKINS GLEN","NY","Schuyler",14891,"6946100A",357520,"MH OUTPATIENT (NON-RESIDENTIAL)",5358282
"204",1003869165,"Excellus Health Plan, Inc./Univera Healthcare","MILL CREEK CTR","WATKINS GLEN","NY","Schuyler",14891,NA,2993502,"PRIVATE PSYCH & ASA INPATIENT",5358288
"205",1003869165,"Excellus Health Plan, Inc.","MILL CREEK CTR","WATKINS GLEN","NY","Schuyler",14891,NA,2993502,"PRIVATE PSYCH & ASA INPATIENT",5358288
"208",1003869165,"Excellus Health Plan, Inc.","ODESSA JR/SR HIGH SCHOOL","ODESSA","NY","Schuyler",14869,NA,2993502,"PRIVATE PSYCH & ASA INPATIENT",5358288
"209",1003869165,"Excellus Health Plan, Inc./Univera Healthcare","ODESSA JR/SR HIGH SCHOOL","ODESSA","NY","Schuyler",14869,NA,2993502,"PRIVATE PSYCH & ASA INPATIENT",5358288
"212",1003869165,"Excellus Health Plan, Inc.","WATKINS GLEN MIDDLE SCH","WAYNE","NY","Schuyler",14893,NA,2993502,"PRIVATE PSYCH & ASA INPATIENT",5358289
"213",1003869165,"Excellus Health Plan, Inc./Univera Healthcare","WATKINS GLEN MIDDLE SCH","WAYNE","NY","Schuyler",14893,NA,2993502,"PRIVATE PSYCH & ASA INPATIENT",5358289
"216",1003873837,"Excellus Health Plan, Inc.","14 MAIN ST","DANSVILLE","NY","Livingston",14437,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",3359490
"218",1003873837,"Excellus Health Plan, Inc./Univera Healthcare","14 MAIN ST","DANSVILLE","NY","Livingston",14437,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",3359490
"220",1003873837,"MVP Health Plan, Inc.","14 MAIN ST","DANSVILLE","NY","Livingston",14437,NA,99999999,"EYE/VISION CENTER",3359490
"221",1003875048,"HealthNow of New York, Inc: Medicaid","190 FULTON ST","BUFFALO","NY","Erie",14204,NA,1008011,"SOCIAL DAY CARE",8498720
"222",1003875048,"HealthNow of New York, Inc","190 FULTON ST","BUFFALO","NY","Erie",14204,"99999999",99999999,"ADULT DAY HEALTH CARE",8498720
"223",1003889940,"HealthNow of New York, Inc","19 B RANSIER DR","BUFFALO","NY","Erie",14224,"99999999",2769822,"DURABLE MEDICAL EQUIPMENT",5951115
"224",1003889940,"HealthNow of New York, Inc: Medicaid","19 B RANSLER DR","BUFFALO","NY","Erie",14224,NA,2527228,"DURABLE MEDICAL EQUIPMENT",6740783
"225",1003915273,"Excellus Health Plan, Inc./Univera Healthcare","2401 GENESEE ST","BUFFALO","NY","Erie",14225,NA,846828,"PHARMACY",8958271
"227",1003915273,"MVP Health Plan, Inc.","2401 GENESEE ST","BUFFALO","NY","Erie",14225,"00023867",846828,"PHARMACY",8958271
"228",1003915273,"HealthNow of New York, Inc","2401 GENESEE ST","BUFFALO","NY","Erie",14225,NA,846828,"PHARMACY",8958271
"229",1003915273,"Excellus Health Plan, Inc.","2401 GENESEE ST","BUFFALO","NY","Erie",14225,NA,846828,"PHARMACY",8958271
"239",1003915281,"Excellus Health Plan, Inc.","8079 N MAIN ST","EDEN","NY","Erie",14057,NA,1165728,"PHARMACY",9929734
"240",1003915281,"Excellus Health Plan, Inc./Univera Healthcare","8079 N MAIN ST","EDEN","NY","Erie",14057,NA,1165728,"PHARMACY",9929734
"241",1003915281,"HealthNow of New York, Inc","8079 N MAIN ST","EDEN","NY","Erie",14057,NA,1165728,"PHARMACY",9929734
"251",1003915281,"MVP Health Plan, Inc.","8079 N MAIN ST","EDEN","NY","Erie",14057,"00023890",1165728,"PHARMACY",9929734
"253",1003920869,"Excellus Health Plan, Inc./Univera Healthcare","2410 N AMERICA DR","BUFFALO","NY","Erie",14224,NA,1926989,"PHARMACY",6774845
"254",1003920869,"HealthNow of New York, Inc: Medicaid","2410 N AMERICA DR","BUFFALO","NY","Erie",14224,NA,1926989,"PHARMACY",6774845
"255",1003920869,"Excellus Health Plan, Inc.","2410 N AMERICA DR","BUFFALO","NY","Erie",14224,NA,1926989,"PHARMACY",6774845
"263",1003920869,"HealthNow of New York, Inc","2410 N AMERICA DR","BUFFALO","NY","Erie",14224,NA,1926989,"PHARMACY",6774845
"267",1003923285,"HealthNow of New York, Inc","7065 MANLIUS CENTER RD","EAST SYRACUSE","NY","Onondaga",13057,NA,2321433,"PHARMACY",6569925
"268",1003923285,"Excellus Health Plan, Inc./Univera Healthcare","7065 MANLIUS CENTER RD","EAST SYRACUSE","NY","Onondaga",13057,NA,2321433,"PHARMACY",6569925
"272",1003923285,"Excellus Health Plan, Inc.","7065 MANLIUS CENTER RD","EAST SYRACUSE","NY","Onondaga",13057,NA,2321433,"PHARMACY",6569925
"276",1003923285,"MVP Health Plan, Inc.","7065 MANLIUS CENTER RD","EAST SYRACUSE","NY","Onondaga",13057,"00025496",2321433,"PHARMACY",6569925
"283",1003926783,"HealthNow of New York, Inc","315 ARSENAL ST","WATERTOWN","NY","Jefferson",13601,"99999999",99999999,"DURABLE MEDICAL EQUIPMENT",7859079
"284",1003926783,"Excellus Health Plan, Inc.","315 ARSENAL ST","WATERTOWN","NY","Jefferson",13601,NA,12292500,"PHARMACY",7859079
"285",1003926783,"Excellus Health Plan, Inc./Univera Healthcare","315 ARSENAL ST","WATERTOWN","NY","Jefferson",13601,NA,12292500,"PHARMACY",7859079
"286",1003926783,"MVP Health Plan, Inc.","315 ARSENAL ST","WATERTOWN","NY","Jefferson",13601,"00024141",1918107,"PHARMACY",7859079
"288",1003926783,"HealthNow of New York, Inc","315 ARSENAL ST","WATERTOWN","NY","Jefferson",13601,NA,1918107,"PHARMACY",7859079
"298",1003929050,"Excellus Health Plan, Inc./Univera Healthcare","12 COMMONS DR","COOPERSTOWN","NY","Otsego",13326,"00023319",1913822,"DURABLE MEDICAL EQUIPMENT",5472173
"299",1003929050,"Excellus Health Plan, Inc.","12 COMMONS DR","COOPERSTOWN","NY","Otsego",13326,"00023319",1913822,"DURABLE MEDICAL EQUIPMENT",5472173
"302",1003929050,"HealthNow of New York, Inc","12 COMMONS DR","COOPERSTOWN","NY","Otsego",13326,"99999999",1913822,"DURABLE MEDICAL EQUIPMENT",5472173
"303",1003929050,"MVP Health Plan, Inc.","5384 STATE HIGHWAY 28","COOPERSTOWN","NY","Otsego",13326,NA,99999999,"DURABLE MEDICAL EQUIPMENT",5682236
"304",1003929050,"Excellus Health Plan, Inc./Univera Healthcare","60 NORTHPOINTE PKWY","BUFFALO","NY","Erie",14228,"00023319",1913822,"DURABLE MEDICAL EQUIPMENT",5682236
"306",1003929050,"Excellus Health Plan, Inc.","60 NORTHPOINTE PKWY","BUFFALO","NY","Erie",14228,"00023319",1913822,"DURABLE MEDICAL EQUIPMENT",5682236
"308",1003963190,"Excellus Health Plan, Inc.","2824 E HENRIETTA RD","HENRIETTA","NY","Monroe",14467,NA,1684082,"OPTICIAN/CONTACT LENS PRIVILGE",3347262
"309",1003963190,"Excellus Health Plan, Inc./Univera Healthcare","2824 E HENRIETTA RD","HENRIETTA","NY","Monroe",14467,NA,1684082,"OPTICIAN/CONTACT LENS PRIVILGE",3347262
"312",1003970633,"HealthNow of New York, Inc: Medicaid","95 MOUNT READ BLVD","ROCHESTER","NY","Monroe",14611,NA,2990738,"DURABLE MEDICAL EQUIPMENT",2352235
"313",1003970633,"HealthNow of New York, Inc","95 MOUNT READ BLVD","ROCHESTER","NY","Monroe",14611,"99999999",99999999,"DURABLE MEDICAL EQUIPMENT",2352235
"315",1013016369,"Excellus Health Plan, Inc./Univera Healthcare","1143 MOHAWK ST","UTICA","NY","Oneida",13501,NA,572647,"PHARMACY",7241717
"319",1013016369,"Excellus Health Plan, Inc.","1143 MOHAWK ST","UTICA","NY","Oneida",13501,NA,572647,"PHARMACY",7241717
"322",1013016369,"HealthNow of New York, Inc","1143 MOHAWK ST","UTICA","NY","Oneida",13501,NA,572647,"PHARMACY",7241717
"325",1013016369,"MVP Health Plan, Inc.","1143 MOHAWK ST","UTICA","NY","Oneida",13501,"00024048",572647,"PHARMACY",7241717
"329",1013017466,"Excellus Health Plan, Inc./Univera Healthcare","343 MEADOW DR","NORTH TONAWANDA","NY","Niagara",14120,NA,650871,"PHARMACY",6942001
"330",1013017466,"Excellus Health Plan, Inc.","343 MEADOW DR","NORTH TONAWANDA","NY","Niagara",14120,NA,650871,"PHARMACY",6942001
"333",1013017466,"MVP Health Plan, Inc.","343 MEADOW DR","NORTH TONAWANDA","NY","Niagara",14120,"00024076",650871,"PHARMACY",6942001
"336",1013017466,"HealthNow of New York, Inc","343 MEADOW DR","NORTH TONAWANDA","NY","Niagara",14120,NA,650871,"PHARMACY",6942001
"343",1013020056,"Excellus Health Plan, Inc.","136 N EXCHANGE ST","GENEVA","NY","Ontario",14456,NA,99999999,"DURABLE MEDICAL EQUIPMENT",7875454
"344",1013020056,"Excellus Health Plan, Inc./Univera Healthcare","136 N EXCHANGE ST","GENEVA","NY","Ontario",14456,NA,99999999,"DURABLE MEDICAL EQUIPMENT",7875454
"347",1013020056,"MVP Health Plan, Inc.","35 MASON ST","GENEVA","NY","Ontario",14456,NA,99999999,"DURABLE MEDICAL EQUIPMENT",7875454
"348",1013024298,"MVP Health Plan, Inc.","4202 W GENESEE ST","SYRACUSE","NY","Onondaga",13219,"00024249",1912894,"PHARMACY",4870326
"349",1013024298,"HealthNow of New York, Inc","4202 W GENESEE ST","SYRACUSE","NY","Onondaga",13219,NA,1912894,"PHARMACY",4870326
"350",1013024298,"Excellus Health Plan, Inc./Univera Healthcare","4202 W GENESEE ST","SYRACUSE","NY","Onondaga",13219,NA,1912894,"PHARMACY",4870326
"351",1013024298,"Excellus Health Plan, Inc.","4202 W GENESEE ST","SYRACUSE","NY","Onondaga",13219,NA,1912894,"PHARMACY",4870326
